state,abbreviation,fips,positive,negative,death,hospitalized
Alaska,AK,2,18174,763652,84,
Alabama,AL,1,199158,1209841,3026,21027
Arkansas,AR,5,117360,1285613,2037,7326
Arizona,AZ,4,252768,1573861,6087,21831
California,CA,6,944576,18321787,17815,
Colorado,CO,8,117637,1162210,2147,9618
Connecticut,CT,9,77060,2356349,4656,12257
District of Columbia,DC,11,17682,522820,650,
Delaware,DE,10,25753,332633,716,
Florida,FL,12,816376,5474729,17170,50670
Georgia,GA,13,368368,3303792,8578,32217
Hawaii,HI,15,15686,295153,219,1125
Iowa,IA,19,130732,785672,1802,
Idaho,ID,16,68314,336496,664,2730
Illinois,IL,17,453750,7669237,10313,
Indiana,IN,18,196176,1565771,4511,17798
Kansas,KS,20,92215,571465,1087,3984
Kentucky,KY,21,115277,1912893,1534,7581
Louisiana,LA,22,190845,2656821,5995,
Massachusetts,MA,25,165161,2671933,10085,13373
Maryland,MD,24,149964,1840059,4182,17435
Maine,ME,23,7260,660590,150,510
Michigan,MI,26,218263,4936619,7833,
Minnesota,MN,27,164865,1776631,2555,11016
Missouri,MO,29,196576,1360425,3106,
Mississippi,MS,28,123887,837208,3405,6728
Montana,MT,30,36968,483056,407,1421
North Carolina,NC,37,285661,3941281,4548,
North Dakota,ND,38,49837,253133,468,1776
Nebraska,NE,31,75888,532416,669,3148
New Hampshire,NH,33,11808,344550,486,788
New Jersey,NJ,34,247219,4570833,16403,38055
New Mexico,NM,35,50251,1168554,1059,4896
Nevada,NV,32,105360,724213,1824,
New York,NY,36,518812,14676364,25892,89995
Ohio,OH,39,235170,4460636,5461,20015
Oklahoma,OK,40,129873,1543684,1413,9338
Oregon,OR,41,47839,841188,710,3334
Pennsylvania,PA,42,220566,2391336,8937,
Rhode Island,RI,44,35750,414678,1222,3472
South Carolina,SC,45,181639,1691646,3992,10726
South Dakota,SD,46,51151,217985,482,2955
Tennessee,TN,47,271771,3508361,3509,10546
Texas,TX,48,934994,7548734,18453,
Utah,UT,49,124292,1001314,632,5830
Virginia,VA,51,187202,2546788,3688,22353
Vermont,VT,50,2303,189724,58,
Washington,WA,53,111480,2408014,2416,8735
Wisconsin,WI,55,263571,1881813,2269,12310
West Virginia,WV,54,26547,790545,480,
Wyoming,WY,56,15409,122804,105,492